Current,Constituency,Winner,LAB,CON,RFM,LDM,GRN,MIN,Oth,SNP,PLC,Electorate,Turnout
CON,"Ruislip, Northwood and Pinner",CON,0.12,0.38,0.24,0.11,0.14,-,-,-,-,"71,683",65.70%
LAB,Runcorn and Helsby,RFM,0.32,0.09,0.38,0.06,0.13,0.01,0,-,-,"70,801",59.70%
CON,Runnymede and Weybridge,CON,0.1,0.3,0.27,0.22,0.09,0.01,0,-,-,"73,610",65.60%
LAB,Rushcliffe,LAB,0.27,0.23,0.25,0.07,0.17,0.01,0,-,-,"79,160",72.90%
LAB,Rutherglen,SNP,0.26,0.05,0.2,0.05,0.07,0.01,0.02,0.33,-,"72,674",58.50%
CON,Rutland and Stamford,CON,0.11,0.35,0.29,0.13,0.12,0.01,-,-,-,"71,763",67.70%
LAB,Salford,LAB,0.32,0.06,0.3,0.07,0.22,0.02,0,-,-,"83,633",47.50%
CON,Salisbury,CON,0.13,0.27,0.25,0.24,0.1,0.01,0,-,-,"71,802",69.90%
LAB,Scarborough and Whitby,RFM,0.22,0.19,0.43,0.06,0.08,0.01,0.01,-,-,"74,544",59.30%
LAB,Scunthorpe,RFM,0.21,0.21,0.43,0.04,0.08,0.03,0,-,-,"73,855",52.90%
LAB,Sefton Central,LAB,0.37,0.12,0.27,0.07,0.16,0.01,-,-,-,"74,284",63.90%
LAB,Selby,RFM,0.27,0.17,0.39,0.05,0.12,-,-,-,-,"78,043",63.10%
CON,Sevenoaks,RFM,0.06,0.28,0.33,0.24,0.08,0.01,0,-,-,"73,708",67.70%
LAB,Sheffield Brightside and Hillsborough,LAB,0.29,0.07,0.24,0.06,0.27,0.03,0.05,-,-,"70,389",44.90%
LAB,Sheffield Central,GRN,0.31,0.05,0.12,0.07,0.41,0.01,0.03,-,-,"60,594",52.50%
LAB,Sheffield Hallam,LDM,0.29,0.08,0.11,0.31,0.19,0,0.01,-,-,"72,900",70.80%
LAB,Sheffield Heeley,LAB,0.31,0.08,0.2,0.1,0.28,0,0.03,-,-,"73,452",52.30%
LAB,Sheffield South East,LAB,0.3,0.1,0.27,0.1,0.18,0.01,0.04,-,-,"74,156",48.20%
LAB,Sherwood Forest,RFM,0.21,0.19,0.43,0.05,0.09,0.02,0,-,-,"78,896",61.70%
LAB,Shipley,RFM,0.27,0.19,0.31,0.04,0.16,0.01,0.02,-,-,"74,130",65.20%
LAB,Shrewsbury,RFM,0.27,0.16,0.32,0.14,0.11,0,0,-,-,"76,599",67.30%
LAB,Sittingbourne and Sheppey,RFM,0.13,0.2,0.45,0.05,0.08,0.07,0.02,-,-,"79,067",51.90%
CON,Skipton and Ripon,RFM,0.15,0.27,0.33,0.09,0.14,0.01,0.01,-,-,"79,238",67.50%
CON,Sleaford and North Hykeham,RFM,0.12,0.26,0.4,0.06,0.1,0.06,-,-,-,"75,651",64.20%
LAB,Slough,MIN,0.19,0.13,0.19,0.05,0.11,0.26,0.07,-,-,"81,295",53.20%
LAB,Smethwick,RFM,0.28,0.09,0.32,0.05,0.15,0.06,0.05,-,-,"72,863",48.20%
CON,Solihull West and Shirley,RFM,0.11,0.26,0.3,0.17,0.15,0.01,-,-,-,"71,816",65.30%
RFM,South Basildon and East Thurrock,RFM,0.14,0.17,0.5,0.04,0.08,0.05,0.01,-,-,"72,673",54.40%
LDM,South Cambridgeshire,LDM,0.06,0.19,0.19,0.46,0.09,0.01,-,-,-,"77,327",71.00%
LDM,South Cotswolds,LDM,0.04,0.25,0.22,0.41,0.06,0,0.01,-,-,"71,971",72.70%
LAB,South Derbyshire,RFM,0.21,0.21,0.4,0.06,0.09,0.02,0,-,-,"73,714",62.00%
LDM,South Devon,LDM,0.04,0.22,0.27,0.42,0.06,0,-,-,-,"72,261",67.80%
LAB,South Dorset,RFM,0.16,0.22,0.36,0.16,0.09,0,0,-,-,"75,924",64.60%
LAB,South East Cornwall,RFM,0.16,0.2,0.39,0.17,0.08,0.01,-,-,-,"72,654",67.80%
CON,South Holland and The Deepings,RFM,0.08,0.27,0.41,0.05,0.09,0.1,-,-,-,"78,473",58.50%
CON,South Leicestershire,RFM,0.11,0.27,0.37,0.15,0.1,-,-,-,-,"78,511",65.40%
LAB,South Norfolk,RFM,0.19,0.21,0.31,0.12,0.16,0,0,-,-,"74,006",67.00%
CON,South Northamptonshire,RFM,0.13,0.28,0.33,0.1,0.13,0.03,0.01,-,-,"78,233",68.60%
LAB,South Ribble,RFM,0.25,0.2,0.4,0.08,0.08,-,-,-,-,"73,420",63.60%
LAB,South Shields,RFM,0.2,0.06,0.38,0.05,0.26,0.05,-,-,-,"68,366",53.90%
CON,South Shropshire,RFM,0.06,0.25,0.34,0.29,0.07,-,-,-,-,"76,677",67.40%
CON,South Suffolk,RFM,0.12,0.23,0.36,0.13,0.16,-,-,-,-,"74,619",65.40%
CON,South West Devon,RFM,0.14,0.26,0.36,0.11,0.12,0.01,0,-,-,"77,600",67.30%
CON,South West Hertfordshire,RFM,0.09,0.26,0.28,0.25,0.11,0.01,0.01,-,-,"71,737",67.30%
LAB,South West Norfolk,RFM,0.12,0.17,0.42,0.07,0.09,0.13,0.01,-,-,"74,724",59.30%
CON,South West Wiltshire,RFM,0.12,0.25,0.35,0.15,0.1,0.01,0.01,-,-,"73,071",63.20%
LAB,Southampton Itchen,RFM,0.24,0.18,0.36,0.08,0.14,0.01,-,-,-,"68,379",55.70%
LAB,Southampton Test,RFM,0.26,0.13,0.29,0.09,0.19,0.02,0.01,-,-,"65,520",54.60%
LAB,Southend East and Rochford,RFM,0.21,0.2,0.37,0.07,0.13,0.01,0,-,-,"70,217",56.50%
LAB,Southend West and Leigh,RFM,0.18,0.23,0.35,0.08,0.14,0.01,0.01,-,-,"75,154",62.50%
LAB,Southgate and Wood Green,LAB,0.32,0.12,0.17,0.11,0.25,0.01,0.01,-,-,"77,542",58.90%
LAB,Southport,RFM,0.21,0.17,0.35,0.14,0.11,0.02,-,-,-,"73,641",61.20%
CON,Spelthorne,RFM,0.12,0.23,0.34,0.19,0.11,0.01,-,-,-,"73,782",62.60%
LAB,Spen Valley,RFM,0.21,0.16,0.43,0.05,0.12,0.03,-,-,-,"72,642",56.50%
LDM,St Albans,LDM,0.05,0.13,0.16,0.54,0.11,0,0,-,-,"72,739",71.00%
LAB,St Austell and Newquay,RFM,0.17,0.2,0.41,0.11,0.09,0.01,0.01,-,-,"76,076",61.40%
LAB,St Helens North,RFM,0.31,0.07,0.4,0.05,0.17,0.01,-,-,-,"75,483",53.60%
LAB,St Helens South and Whiston,RFM,0.29,0.05,0.35,0.06,0.15,0.1,-,-,-,"71,569",53.10%
LDM,St Ives,LDM,0.04,0.16,0.26,0.47,0.06,0.01,0.01,-,-,"69,978",68.70%
LDM,St Neots and Mid Cambridgeshire,LDM,0.07,0.2,0.23,0.35,0.1,0.05,0,-,-,"78,115",67.70%
LAB,Stafford,RFM,0.23,0.21,0.37,0.05,0.12,0.01,0,-,-,"70,608",65.20%
CON,Staffordshire Moorlands,RFM,0.15,0.26,0.43,0.05,0.11,-,-,-,-,"69,892",62.00%
LAB,Stalybridge and Hyde,RFM,0.24,0.12,0.4,0.04,0.14,0.03,0.03,-,-,"72,265",51.50%
LAB,Stevenage,RFM,0.24,0.18,0.36,0.09,0.13,0,-,-,-,"70,976",60.20%
LAB,Stirling and Strathallan,SNP,0.15,0.16,0.21,0.05,0.1,-,-,0.34,-,"76,284",65.30%
LAB,Stockport,LAB,0.3,0.08,0.29,0.09,0.21,0.03,0,-,-,"76,632",57.00%
LAB,Stockton North,RFM,0.28,0.14,0.44,0.05,0.09,-,-,-,-,"70,242",53.20%
CON,Stockton West,CON,0.22,0.34,0.31,0.04,0.07,0.01,0.01,-,-,"71,868",67.70%
LAB,Stoke-on-Trent Central,RFM,0.23,0.11,0.44,0.05,0.09,0.06,0.02,-,-,"73,812",47.80%
LAB,Stoke-on-Trent North,RFM,0.22,0.18,0.46,0.04,0.07,0.03,-,-,-,"69,854",51.80%
LAB,Stoke-on-Trent South,RFM,0.18,0.24,0.43,0.06,0.06,0.03,0,-,-,"70,002",58.50%
CON,"Stone, Great Wyrley and Penkridge",RFM,0.15,0.31,0.34,0.07,0.11,0.01,0.01,-,-,"71,561",59.80%
LAB,Stourbridge,RFM,0.2,0.22,0.41,0.06,0.09,0.03,-,-,-,"68,311",58.40%
LAB,Stratford and Bow,GRN,0.26,0.06,0.13,0.06,0.3,0.06,0.13,-,-,"80,735",53.80%
LDM,Stratford-on-Avon,LDM,0.04,0.21,0.29,0.4,0.05,0,0,-,-,"75,714",69.90%
LAB,Streatham and Croydon North,LAB,0.33,0.09,0.12,0.14,0.29,0.02,0.01,-,-,"82,829",53.80%
LAB,Stretford and Urmston,LAB,0.3,0.1,0.25,0.06,0.2,0.09,0.01,-,-,"75,153",61.20%
LAB,Stroud,LAB,0.28,0.18,0.25,0.06,0.22,0,0,-,-,"77,905",70.90%
LAB,Suffolk Coastal,RFM,0.16,0.2,0.33,0.14,0.17,-,-,-,-,"74,522",66.40%
LAB,Sunderland Central,RFM,0.23,0.09,0.44,0.1,0.14,-,-,-,-,"76,145",52.50%
LDM,Surrey Heath,LDM,0.04,0.24,0.25,0.41,0.05,0,-,-,-,"71,934",66.40%
CON,Sussex Weald,RFM,0.07,0.24,0.32,0.19,0.15,0.02,0.01,-,-,"72,885",67.50%
LDM,Sutton and Cheam,LDM,0.07,0.21,0.27,0.37,0.08,0,-,-,-,"72,303",65.80%
CON,Sutton Coldfield,RFM,0.17,0.3,0.35,0.07,0.11,0.01,-,-,-,"74,080",65.20%
LAB,Swansea West,RFM,0.19,0.06,0.29,0.12,0.15,0.01,-,-,0.19,"74,236",48.00%
LAB,Swindon North,RFM,0.23,0.23,0.35,0.06,0.11,0.01,0,-,-,"73,224",60.30%
LAB,Swindon South,LAB,0.31,0.2,0.3,0.06,0.12,0.01,-,-,-,"72,575",61.70%
LAB,Tamworth,RFM,0.18,0.23,0.46,0.05,0.08,0.01,0,-,-,"75,055",58.30%
CON,Tatton,CON,0.2,0.31,0.27,0.1,0.12,-,-,-,-,"74,237",69.90%
LDM,Taunton and Wellington,LDM,0.04,0.16,0.3,0.43,0.06,0,-,-,-,"78,680",63.90%
LAB,Telford,RFM,0.26,0.14,0.44,0.05,0.1,-,-,-,-,"73,808",55.20%
LDM,Tewkesbury,LDM,0.04,0.2,0.26,0.39,0.11,0,-,-,-,"73,458",66.10%
CON,The Wrekin,RFM,0.15,0.24,0.38,0.1,0.12,0.01,-,-,-,"78,942",63.40%
CON,Thirsk and Malton,RFM,0.11,0.29,0.36,0.11,0.12,0.02,-,-,-,"78,468",63.50%
LDM,Thornbury and Yate,LDM,0.05,0.24,0.28,0.36,0.07,-,-,-,-,"78,192",68.30%
LAB,Thurrock,RFM,0.24,0.15,0.44,0.05,0.09,0.02,0.01,-,-,"73,392",51.20%
LAB,Tipton and Wednesbury,RFM,0.19,0.18,0.45,0.04,0.1,0.03,0.02,-,-,"74,098",43.00%
LDM,Tiverton and Minehead,LDM,0.05,0.21,0.32,0.34,0.08,-,-,-,-,"72,087",65.90%
CON,Tonbridge,CON,0.08,0.29,0.27,0.07,0.27,0.02,0,-,-,"72,799",69.10%
LAB,Tooting,LAB,0.38,0.13,0.13,0.12,0.22,0.01,0.01,-,-,"76,168",69.50%
LDM,Torbay,LDM,0.04,0.19,0.35,0.36,0.05,0,-,-,-,"76,185",60.50%
LAB,Torfaen,RFM,0.21,0.09,0.36,0.07,0.11,0.02,0,-,0.13,"71,738",49.80%
CON,Torridge and Tavistock,RFM,0.09,0.23,0.35,0.23,0.08,0.01,-,-,-,"74,727",68.00%
LAB,Tottenham,LAB,0.38,0.05,0.11,0.07,0.31,0.05,0.03,-,-,"75,906",52.90%
LAB,Truro and Falmouth,RFM,0.25,0.18,0.28,0.14,0.13,0.01,0,-,-,"72,982",68.90%
LDM,Tunbridge Wells,LDM,0.06,0.19,0.24,0.41,0.09,0.01,-,-,-,"78,738",68.90%
LDM,Twickenham,LDM,0.05,0.11,0.16,0.56,0.11,0,-,-,-,"74,980",71.50%
LAB,Tynemouth,LAB,0.32,0.13,0.31,0.07,0.15,0.01,0.01,-,-,"73,194",66.20%
LAB,Uxbridge and South Ruislip,RFM,0.17,0.26,0.31,0.05,0.18,0,0.01,-,-,"74,745",61.40%
LAB,Vale of Glamorgan,RFM,0.18,0.19,0.3,0.06,0.11,0.02,0,-,0.14,"74,465",61.50%
LAB,Vauxhall and Camberwell Green,LAB,0.38,0.06,0.14,0.14,0.27,0,-,-,-,"77,527",48.40%
LAB,Wakefield and Rothwell,RFM,0.25,0.12,0.39,0.09,0.12,0.02,0.02,-,-,"75,067",54.20%
LAB,Wallasey,LAB,0.37,0.07,0.32,0.05,0.17,0.01,0,-,-,"74,082",57.70%
LAB,Walsall and Bloxwich,RFM,0.17,0.12,0.38,0.04,0.11,0.18,-,-,-,"74,951",49.60%
LAB,Walthamstow,LAB,0.41,0.04,0.11,0.06,0.32,0.03,0.04,-,-,"74,474",61.30%
LAB,Warrington North,RFM,0.28,0.1,0.43,0.07,0.1,0.01,-,-,-,"70,601",56.70%
LAB,Warrington South,RFM,0.29,0.17,0.34,0.08,0.11,0.01,0,-,-,"78,394",63.40%
LAB,Warwick and Leamington,LAB,0.31,0.17,0.24,0.08,0.2,0,-,-,-,"76,294",64.50%
LAB,Washington and Gateshead South,RFM,0.28,0.07,0.47,0.06,0.1,0.02,-,-,-,"70,972",52.20%
LAB,Watford,RFM,0.2,0.19,0.25,0.18,0.13,0.06,0,-,-,"73,100",60.80%
GRN,Waveney Valley,GRN,0.04,0.18,0.26,0.02,0.5,0,-,-,-,"73,056",67.20%
CON,Weald of Kent,RFM,0.1,0.3,0.36,0.08,0.16,-,-,-,-,"75,987",66.70%
LAB,Wellingborough and Rushden,RFM,0.22,0.19,0.41,0.05,0.13,0.01,-,-,-,"77,542",56.70%
LDM,Wells and Mendip Hills,LDM,0.04,0.17,0.26,0.43,0.07,0.03,0,-,-,"73,538",68.50%
LAB,Welwyn Hatfield,RFM,0.25,0.26,0.29,0.07,0.13,-,-,-,-,"75,259",64.40%
CON,West Aberdeenshire and Kincardine,CON,0.04,0.29,0.23,0.1,0.05,0,0,0.28,-,"72,994",67.10%
LAB,West Bromwich,RFM,0.27,0.14,0.38,0.05,0.11,0.04,0,-,-,"74,025",49.30%
LDM,West Dorset,LDM,0.03,0.21,0.22,0.45,0.08,0.01,0,-,-,"75,998",69.20%
LAB,West Dunbartonshire,SNP,0.24,0.04,0.21,0.03,0.1,0.01,0,0.37,-,"69,074",57.30%
LAB,West Ham and Beckton,LAB,0.27,0.08,0.19,0.06,0.22,0.16,0.02,-,-,"78,964",46.00%
LAB,West Lancashire,RFM,0.31,0.13,0.35,0.06,0.15,-,-,-,-,"74,081",59.70%
CON,West Suffolk,RFM,0.12,0.25,0.39,0.1,0.12,0.01,0.01,-,-,"77,145",59.80%
CON,West Worcestershire,RFM,0.07,0.26,0.28,0.22,0.17,0.01,-,-,-,"79,246",69.00%
LDM,Westmorland and Lonsdale,LDM,0.03,0.13,0.21,0.58,0.05,0,0,-,-,"72,029",68.80%
LAB,Weston-super-Mare,RFM,0.21,0.2,0.38,0.09,0.12,-,-,-,-,"71,396",59.40%
CON,Wetherby and Easingwold,CON,0.14,0.31,0.29,0.06,0.18,0.01,-,-,-,"74,314",70.30%
LAB,Whitehaven and Workington,RFM,0.33,0.13,0.42,0.05,0.07,-,-,-,-,"73,198",57.20%
LAB,Widnes and Halewood,LAB,0.4,0.06,0.36,0.05,0.12,0.01,-,-,-,"70,161",54.30%
LAB,Wigan,RFM,0.27,0.06,0.43,0.06,0.09,0.08,0.01,-,-,"77,538",52.70%
LDM,Wimbledon,LDM,0.09,0.17,0.15,0.49,0.09,0.01,0,-,-,"76,334",72.00%
LDM,Winchester,LDM,0.04,0.2,0.18,0.49,0.08,0,0.01,-,-,"78,289",72.90%
CON,Windsor,CON,0.11,0.3,0.23,0.21,0.11,0.04,0.01,-,-,"73,334",61.70%
LAB,Wirral West,LAB,0.29,0.17,0.29,0.06,0.18,-,-,-,-,"72,838",68.60%
CON,Witham,RFM,0.12,0.28,0.36,0.08,0.14,0.02,-,-,-,"78,991",64.10%
LDM,Witney,LDM,0.06,0.24,0.25,0.38,0.06,0.01,0,-,-,"75,448",67.00%
LDM,Woking,LDM,0.05,0.19,0.2,0.48,0.08,0,-,-,-,"72,969",66.00%
LDM,Wokingham,LDM,0.04,0.23,0.2,0.45,0.08,-,-,-,-,"75,082",71.90%
LAB,Wolverhampton North East,RFM,0.24,0.18,0.44,0.05,0.08,-,-,-,-,"70,715",47.10%
LAB,Wolverhampton South East,RFM,0.3,0.11,0.42,0.05,0.1,0.02,-,-,-,"77,473",43.10%
LAB,Wolverhampton West,RFM,0.28,0.19,0.3,0.05,0.12,0.03,0.03,-,-,"77,851",56.10%
LAB,Worcester,RFM,0.22,0.17,0.3,0.09,0.2,0.01,0,-,-,"74,931",61.40%
LAB,Worsley and Eccles,RFM,0.27,0.1,0.4,0.06,0.15,0.01,0.01,-,-,"78,643",54.10%
LAB,Worthing West,RFM,0.23,0.24,0.32,0.06,0.15,0.01,-,-,-,"77,039",66.20%
LAB,Wrexham,RFM,0.19,0.15,0.31,0.06,0.09,0.01,-,-,0.18,"70,269",57.50%
LAB,Wycombe,RFM,0.21,0.19,0.25,0.11,0.11,0.07,0.06,-,-,"73,415",60.80%
CON,Wyre Forest,RFM,0.14,0.23,0.42,0.07,0.11,0.03,0.01,-,-,"77,329",58.40%
LAB,Wythenshawe and Sale East,LAB,0.32,0.09,0.31,0.06,0.2,0.02,0.01,-,-,"77,767",50.30%
LDM,Yeovil,LDM,0.03,0.15,0.29,0.43,0.08,0.01,-,-,-,"79,918",61.30%
PLC,Ynys Mon,PLC,0.06,0.19,0.18,0.03,0.04,0.01,0,-,0.49,"53,141",61.40%
LAB,York Central,LAB,0.37,0.09,0.23,0.08,0.22,0,0.01,-,-,"79,557",54.50%
LAB,York Outer,LAB,0.28,0.19,0.27,0.12,0.12,0.01,0.01,-,-,"76,228",67.00%
