Current,Constituency,Winner,LAB,CON,RFM,LDM,GRN,MIN,Oth,SNP,PLC,Electorate,Turnout
LAB,Broxtowe,RFM,0.23,0.16,0.35,0.09,0.15,0.02,0.01,-,-,"70,440",67.90%
LAB,Buckingham and Bletchley,RFM,0.21,0.24,0.32,0.1,0.12,0.01,-,-,-,"74,832",63.70%
LAB,Burnley,RFM,0.16,0.14,0.39,0.22,0.07,0.01,0.01,-,-,"74,954",53.00%
LAB,Burton and Uttoxeter,RFM,0.18,0.22,0.41,0.05,0.1,0.04,-,-,-,"77,994",58.50%
LAB,Bury North,RFM,0.26,0.19,0.35,0.04,0.09,0.04,0.02,-,-,"77,686",58.60%
LAB,Bury South,RFM,0.27,0.16,0.34,0.06,0.13,0.02,0.02,-,-,"75,326",56.00%
LAB,Bury St Edmunds and Stowmarket,RFM,0.16,0.2,0.33,0.06,0.22,0.01,0.01,-,-,"78,479",64.80%
PLC,Caerfyrddin,PLC,0.07,0.12,0.26,0.04,0.07,0.01,0,-,0.43,"74,005",61.60%
LAB,Caerphilly,PLC,0.17,0.07,0.3,0.06,0.09,-,-,-,0.31,"72,648",52.60%
LDM,"Caithness, Sutherland and Easter Ross",LDM,0.02,0.03,0.21,0.39,0.06,0.02,-,0.26,-,"74,627",61.70%
LAB,Calder Valley,RFM,0.26,0.18,0.33,0.07,0.15,0.01,0,-,-,"77,364",64.10%
LAB,Camborne and Redruth,RFM,0.23,0.17,0.38,0.09,0.11,0.01,0.01,-,-,"74,342",64.30%
LAB,Cambridge,GRN,0.28,0.08,0.15,0.18,0.29,0.02,0.01,-,-,"70,321",59.90%
LAB,Cannock Chase,RFM,0.19,0.2,0.47,0.04,0.1,-,-,-,-,"76,974",55.80%
LAB,Canterbury,RFM,0.23,0.16,0.29,0.09,0.23,0.01,-,-,-,"71,155",66.40%
LAB,Cardiff East,RFM,0.18,0.06,0.23,0.16,0.2,0,-,-,0.17,"72,876",53.70%
LAB,Cardiff North,RFM,0.21,0.11,0.22,0.08,0.18,-,-,-,0.2,"71,460",66.40%
LAB,Cardiff South and Penarth,GRN,0.21,0.08,0.2,0.08,0.23,-,-,-,0.18,"73,060",53.60%
LAB,Cardiff West,PLC,0.14,0.08,0.21,0.05,0.16,0.02,0.01,-,0.33,"75,697",59.10%
LAB,Carlisle,RFM,0.21,0.19,0.41,0.08,0.09,0.01,0.01,-,-,"77,863",59.10%
LDM,Carshalton and Wallington,LDM,0.06,0.18,0.27,0.42,0.06,0.01,0.01,-,-,"74,362",62.80%
CON,Castle Point,RFM,0.1,0.27,0.47,0.05,0.11,-,-,-,-,"71,026",57.20%
LAB,Central Ayrshire,SNP,0.21,0.11,0.28,0.03,0.06,0.01,0,0.29,-,"69,413",59.70%
CON,Central Devon,RFM,0.15,0.24,0.31,0.16,0.13,0.01,-,-,-,"75,385",70.90%
CON,Central Suffolk and North Ipswich,RFM,0.16,0.2,0.34,0.09,0.2,0.01,0,-,-,"73,046",63.60%
PLC,Ceredigion Preseli,PLC,0.03,0.07,0.19,0.13,0.08,0,-,-,0.51,"75,690",61.20%
LAB,Chatham and Aylesford,RFM,0.17,0.21,0.43,0.07,0.12,0.01,0.01,-,-,"75,109",54.40%
LDM,Cheadle,LDM,0.07,0.15,0.22,0.46,0.07,0.02,0,-,-,"74,383",68.20%
LDM,Chelmsford,LDM,0.06,0.22,0.27,0.38,0.06,0,0.01,-,-,"76,970",65.90%
LAB,Chelsea and Fulham,CON,0.23,0.33,0.18,0.11,0.14,0.01,0,-,-,"78,468",60.00%
LDM,Cheltenham,LDM,0.03,0.24,0.15,0.46,0.11,0.01,-,-,-,"76,144",65.10%
LDM,Chesham and Amersham,LDM,0.04,0.26,0.2,0.42,0.06,0.01,0,-,-,"74,889",72.70%
LAB,Chester North and Neston,LAB,0.32,0.16,0.29,0.05,0.19,-,-,-,-,"70,215",63.70%
CON,Chester South and Eddisbury,CON,0.17,0.31,0.29,0.11,0.1,0.03,-,-,-,"74,284",70.70%
LAB,Chesterfield,RFM,0.27,0.14,0.38,0.07,0.13,0.01,0.01,-,-,"71,645",58.00%
LDM,Chichester,LDM,0.04,0.17,0.29,0.44,0.06,0,-,-,-,"78,374",66.30%
CON,Chingford and Woodford Green,CON,0.11,0.31,0.22,0.05,0.07,0.24,-,-,-,"74,010",65.50%
LDM,Chippenham,LDM,0.05,0.2,0.25,0.42,0.07,0.01,-,-,-,"74,107",66.80%
LAB,Chipping Barnet,CON,0.25,0.3,0.21,0.08,0.15,0,0.01,-,-,"78,038",65.20%
SPKR,Chorley,SPKR,-,-,-,-,0.16,0.73,0.11,-,-,"74,801",45.40%
CON,Christchurch,RFM,0.07,0.25,0.37,0.19,0.09,0.03,0.01,-,-,"71,060",66.60%
LAB,Cities of London and Westminster,CON,0.22,0.26,0.18,0.14,0.17,0.02,0.02,-,-,"73,369",53.40%
LAB,City of Durham,RFM,0.29,0.09,0.35,0.16,0.12,0,-,-,-,"70,583",57.60%
RFM,Clacton,RFM,0.07,0.18,0.61,0.06,0.07,0.01,0,-,-,"78,245",58.70%
LAB,Clapham and Brixton Hill,LAB,0.39,0.08,0.11,0.17,0.24,0.01,0,-,-,"83,114",51.40%
LAB,Clwyd East,RFM,0.18,0.19,0.3,0.06,0.09,0.01,-,-,0.17,"76,637",62.40%
LAB,Clwyd North,RFM,0.16,0.22,0.33,0.06,0.09,-,-,-,0.13,"75,027",55.50%
LAB,Coatbridge and Bellshill,SNP,0.25,0.04,0.21,0.03,0.08,0.01,0.01,0.38,-,"72,667",53.30%
LAB,Colchester,RFM,0.26,0.17,0.31,0.15,0.11,0,-,-,-,"78,662",57.10%
LAB,Colne Valley,RFM,0.24,0.22,0.33,0.06,0.15,0.01,-,-,-,"72,638",63.60%
LAB,Congleton,RFM,0.21,0.22,0.36,0.07,0.09,0.04,0.01,-,-,"72,914",68.70%
LAB,Corby and East Northamptonshire,RFM,0.24,0.22,0.36,0.06,0.12,0.01,-,-,-,"78,770",63.00%
LAB,Coventry East,RFM,0.31,0.12,0.35,0.05,0.14,0.03,0.02,-,-,"75,773",48.80%
LAB,Coventry North West,RFM,0.28,0.14,0.36,0.06,0.16,0.01,-,-,-,"75,036",56.00%
LAB,Coventry South,LAB,0.31,0.17,0.3,0.07,0.11,0.02,0.02,-,-,"76,232",56.10%
LAB,Cowdenbeath and Kirkcaldy,SNP,0.23,0.07,0.25,0.05,0.09,0.03,0,0.28,-,"71,845",56.80%
LAB,Cramlington and Killingworth,RFM,0.29,0.12,0.4,0.06,0.11,0.01,0.01,-,-,"76,228",59.60%
LAB,Crawley,RFM,0.21,0.19,0.36,0.06,0.13,0.05,0.01,-,-,"75,569",60.40%
LAB,Crewe and Nantwich,RFM,0.26,0.16,0.4,0.06,0.1,0.01,0.01,-,-,"77,095",61.20%
LAB,Croydon East,RFM,0.23,0.19,0.29,0.1,0.18,-,-,-,-,"76,595",57.20%
CON,Croydon South,CON,0.18,0.34,0.22,0.12,0.12,0.01,0,-,-,"74,889",65.90%
LAB,Croydon West,LAB,0.36,0.12,0.16,0.13,0.2,0.02,0.02,-,-,"77,891",48.90%
LAB,Cumbernauld and Kirkintilloch,SNP,0.21,0.04,0.23,0.04,0.09,-,-,0.38,-,"70,350",58.20%
LAB,Dagenham and Rainham,RFM,0.21,0.11,0.41,0.05,0.21,0.01,-,-,-,"76,475",50.80%
LAB,Darlington,RFM,0.22,0.25,0.34,0.06,0.13,-,-,-,-,"70,672",60.00%
LAB,Dartford,RFM,0.17,0.23,0.39,0.06,0.14,-,-,-,-,"75,426",59.00%
CON,Daventry,RFM,0.12,0.25,0.38,0.13,0.12,-,-,-,-,"80,879",65.60%
LAB,Derby North,RFM,0.26,0.16,0.36,0.06,0.15,-,-,-,-,"71,879",56.90%
LAB,Derby South,RFM,0.21,0.09,0.4,0.06,0.11,0.12,0.01,-,-,"72,944",51.30%
LAB,Derbyshire Dales,RFM,0.18,0.25,0.32,0.1,0.12,0.01,0.01,-,-,"73,324",69.90%
MIN,Dewsbury and Batley,MIN,0.11,0.08,0.31,0.04,0.11,0.36,-,-,-,"71,685",53.10%
LDM,Didcot and Wantage,LDM,0.07,0.2,0.24,0.38,0.1,0,-,-,-,"80,689",67.80%
LAB,Doncaster Central,RFM,0.26,0.14,0.4,0.05,0.11,0.02,0.02,-,-,"74,678",50.80%
LAB,Doncaster East and the Isle of Axholme,RFM,0.2,0.23,0.43,0.05,0.08,0,-,-,-,"70,154",55.80%
LAB,Doncaster North,RFM,0.27,0.11,0.4,0.05,0.12,0.01,0.04,-,-,"69,759",44.40%
LDM,Dorking and Horley,LDM,0.04,0.22,0.26,0.38,0.1,-,-,-,-,"71,645",69.70%
LAB,Dover and Deal,RFM,0.22,0.14,0.42,0.07,0.12,0.01,0.02,-,-,"76,406",62.50%
CON,Droitwich and Evesham,RFM,0.1,0.3,0.36,0.1,0.14,0,-,-,-,"76,624",64.70%
LAB,Dudley,RFM,0.17,0.2,0.47,0.05,0.06,0.02,0.02,-,-,"70,151",51.00%
LAB,Dulwich and West Norwood,LAB,0.42,0.06,0.11,0.09,0.31,0.01,-,-,-,"79,894",56.80%
